date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:12	147871/147871	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:00:05%20GMT	http://www.nytimes.com/section/arts/design	/home/macrico/Documents/HEAD/coding/nyt/web/design.html	(from )
18:00:19	338/338	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Jun%202016%2018:18:13%20GMT	http://www.nytimes.com/robots.txt		(from )
18:00:20	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Wed,%2023%20Jan%202013%2020:29:12%20GMT	https://static01.nyt.com/favicon.ico	/home/macrico/Documents/HEAD/coding/nyt/web/images/favicon.ico	(from http://www.nytimes.com/section/arts/design)
18:00:28	3148/3148	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:44:41%20GMT	https://static01.nyt.com/images/icons/ios-ipad-144x144.png	/home/macrico/Documents/HEAD/coding/nyt/web/images/ios-ipad-144x144.png	(from http://www.nytimes.com/section/arts/design)
18:00:28	2440/2440	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:43:50%20GMT	https://static01.nyt.com/images/icons/ios-iphone-114x144.png	/home/macrico/Documents/HEAD/coding/nyt/web/images/ios-iphone-114x144.png	(from http://www.nytimes.com/section/arts/design)
18:00:28	1184/1184	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:44:25%20GMT	https://static01.nyt.com/images/icons/ios-default-homescreen-57x57.png	/home/macrico/Documents/HEAD/coding/nyt/web/images/ios-default-homescreen-57x57.png	(from http://www.nytimes.com/section/arts/design)
18:00:29	5222/5222	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202013%2020:32:25%20GMT	https://static01.nyt.com/images/icons/t_logo_291_black.png	/home/macrico/Documents/HEAD/coding/nyt/web/images/t_logo_291_black.png	(from http://www.nytimes.com/section/arts/design)
18:00:30	4537/4537	---M-Z	200	added ('OK')	application/xml	etag:W/%222491cf0773e120a0e87c247418824b3d%22	https://www.nytimes.com/svc/collections/v1/publish/http://www.nytimes.com/section/arts/design/rss.xml	/home/macrico/Documents/HEAD/coding/nyt/web/images/rss.xml	(from http://www.nytimes.com/section/arts/design)
18:00:30	467253/467253	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Nov%202016%2018:44:28%20GMT	https://a1.nyt.com/assets/collection/20161101-141959/css/collection/section/styles.css	/home/macrico/Documents/HEAD/coding/nyt/web/images/styles.css	(from http://www.nytimes.com/section/arts/design)
18:00:31	38037/38037	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Nov%202016%2017:00:31%20GMT	http://www.nytimes.com/section/arts/POST	/home/macrico/Documents/HEAD/coding/nyt/web/images/post.8.delayed	(from http://www.nytimes.com/section/arts/design)
18:00:31	291859/291859	---M-Z	200	added ('OK')	text/javascript	etag:%2214763c3d96f8b82fc9ba6e51ba199df6%22	https://cdn.optimizely.com/js/3338050995.js	/home/macrico/Documents/HEAD/coding/nyt/web/images/3338050995.js	(from http://www.nytimes.com/section/arts/design)
18:00:31	57887/57887	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2001%20Nov%202016%2018:44:23%20GMT	https://a1.nyt.com/assets/collection/20161101-141959/js/foundation/lib/framework.js	/home/macrico/Documents/HEAD/coding/nyt/web/images/framework.js	(from http://www.nytimes.com/section/arts/design)
18:00:32	1080/1080	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Jun%202014%2018:48:07%20GMT	https://static01.nyt.com/images/icons/icon-alert-12x12-a81817.png	/home/macrico/Documents/HEAD/coding/nyt/web/images/icon-alert-12x12-a81817.png	(from http://www.nytimes.com/section/arts/design)
18:00:32	74509/74509	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202016%2020:11:33%20GMT	https://static01.nyt.com/images/2016/11/05/arts/05BOVE/05BOVE-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/05bove-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:32	3167/3167	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202016%2020:11:33%20GMT	https://static01.nyt.com/images/2016/11/05/arts/05BOVE/05BOVE-thumbStandard.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/05bove-thumbstandard.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:32	89240/89240	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2004:04:39%20GMT	https://static01.nyt.com/images/2016/11/06/arts/6FLOODS1/6FLOODS1-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/6floods1-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	2189/2189	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2004:04:39%20GMT	https://static01.nyt.com/images/2016/11/06/arts/6FLOODS1/6FLOODS1-thumbStandard.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/6floods1-thumbstandard.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	2814/2814	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2021:04:06%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04LECKEY/04LECKEY-thumbStandard.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04leckey-thumbstandard.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	70678/70678	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2021:04:06%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04LECKEY/04LECKEY-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04leckey-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	193141/193141	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2020:35:49%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04CHAREAUJP2/04CHAREAUJP2-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04chareaujp2-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	3516/3516	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2020:35:49%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04CHAREAUJP2/04CHAREAUJP2-thumbStandard.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04chareaujp2-thumbstandard.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:33	29662/29662	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2021:13:29%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04OGBOH-GALLERY3-ALT-SUB/04OGBOH-GALLERY3-ALT-SUB-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04ogboh-gallery3-alt-sub-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:34	60031/60031	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202016%2016:11:16%20GMT	https://static01.nyt.com/images/2016/11/05/arts/05Hirshhorn/05Hirshhorn-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/05hirshhorn-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:34	89902/89902	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202016%2012:26:05%20GMT	https://static01.nyt.com/images/2016/11/05/arts/05REYBURN07-01INYT/05REYBURN07-01INYT-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/05reyburn07-01inyt-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:35	188178/188178	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2021:01:16%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04FRAGONARD1/04FRAGONARD1-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04fragonard1-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:35	124801/124801	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Nov%202016%2020:38:00%20GMT	https://static01.nyt.com/images/2016/11/04/arts/04GREENWOODJP1/04GREENWOODJP1-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/04greenwoodjp1-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
18:00:35	53520/53520	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Oct%202016%2021:37:45%20GMT	https://static01.nyt.com/images/2016/10/30/arts/30BOSTON/30BOSTON-videoLarge.jpg	/home/macrico/Documents/HEAD/coding/nyt/web/images/30boston-videolarge.jpg	(from http://www.nytimes.com/section/arts/design)
