date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:06:16	338/338	---M-Z	200	added ('OK')	text/plain	date:Fri,%2010%20Jun%202016%2018:18:13%20GMT	http://www.nytimes.com/robots.txt		(from )
18:06:17	193771/193771	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:16%20GMT	http://www.nytimes.com/	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/index.html	(from )
18:06:17	15086/15086	---M--	200	added ('OK')	image/x-icon	date:Wed,%2023%20Jan%202013%2020:29:12%20GMT	https://static01.nyt.com/favicon.ico	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/favicon.ico	(from http://www.nytimes.com/)
18:06:17	3148/3148	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:44:41%20GMT	https://static01.nyt.com/images/icons/ios-ipad-144x144.png	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/images/icons/ios-ipad-144x144.png	(from http://www.nytimes.com/)
18:06:17	2440/2440	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:44:41%20GMT	https://static01.nyt.com/images/icons/ios-iphone-114x144.png	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/images/icons/ios-iphone-114x144.png	(from http://www.nytimes.com/)
18:06:18	1184/1184	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jul%202016%2014:44:25%20GMT	https://static01.nyt.com/images/icons/ios-default-homescreen-57x57.png	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/images/icons/ios-default-homescreen-57x57.png	(from http://www.nytimes.com/)
18:06:18	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:18%20GMT	http://www.nytimes.com/services/xml/rss/nyt/HomePage.xml	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/services/xml/rss/nyt/HomePage.4.delayed	(from http://www.nytimes.com/)
18:06:18	46921/46921	---M-Z	200	added ('OK')	text/xml	date:Sun,%2006%20Nov%202016%2016:59:54%20GMT	http://rss.nytimes.com/services/xml/rss/nyt/HomePage.xml	/home/macrico/Documents/HEAD/coding/nyt/rss.nytimes.com/services/xml/rss/nyt/HomePage.xml	(from http://www.nytimes.com/)
18:06:19	343579/343579	---M-Z	200	added ('OK')	text/html	etag:W/%2253e1b-t3LP9WKcekXLUSLSFb3OTA%22	http://mobile.nytimes.com/	/home/macrico/Documents/HEAD/coding/nyt/mobile.nytimes.com/index.html	(from http://www.nytimes.com/)
18:06:19	5222/5222	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Sep%202014%2023:40:57%20GMT	https://static01.nyt.com/images/icons/t_logo_291_black.png	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/images/icons/t_logo_291_black.png	(from http://www.nytimes.com/)
18:06:21	7434/7434	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Nov%202016%2017:06:20%20GMT	http://www.nytimes.com/homepage.nytimes.com/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/homepage.nytimes.com/index.7.delayed	(from http://www.nytimes.com/)
18:06:21	424647/424647	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Nov%202016%2019:17:25%20GMT	https://a1.nyt.com/assets/homepage/20161102-144043/css/homepage/styles.css	/home/macrico/Documents/HEAD/coding/nyt/a1.nyt.com/assets/homepage/20161102-144043/css/homepage/styles.css	(from http://www.nytimes.com/)
18:06:22	279/279	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:21%20GMT	http://www.nytimes.com/POST	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/POST.9.delayed	(from http://www.nytimes.com/)
18:06:22	243/243	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:22%20GMT	http://www.nytimes.com/marketing/jobmarket/employercentral/postjob.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/marketing/jobmarket/employercentral/postjob.a.delayed	(from http://www.nytimes.com/)
18:06:24	117413/117413	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:24%20GMT	http://www.nytimes.com/section/jobs	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/section/jobs.html	(from http://www.nytimes.com/)
18:06:25	57887/57887	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2002%20Nov%202016%2019:17:29%20GMT	https://a1.nyt.com/assets/homepage/20161102-144043/js/foundation/lib/framework.js	/home/macrico/Documents/HEAD/coding/nyt/a1.nyt.com/assets/homepage/20161102-144043/js/foundation/lib/framework.js	(from http://www.nytimes.com/)
18:06:25	291859/291859	---M-Z	200	added ('OK')	text/javascript	etag:%2214763c3d96f8b82fc9ba6e51ba199df6%22	https://cdn.optimizely.com/js/3338050995.js	/home/macrico/Documents/HEAD/coding/nyt/cdn.optimizely.com/js/3338050995.js	(from http://www.nytimes.com/)
18:06:25	1080/1080	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Sep%202014%2023:40:57%20GMT	https://static01.nyt.com/images/icons/icon-alert-12x12-a81817.png	/home/macrico/Documents/HEAD/coding/nyt/static01.nyt.com/images/icons/icon-alert-12x12-a81817.png	(from http://www.nytimes.com/)
18:06:26	11782/11782	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:25%20GMT	http://www.nytimes.com/content/help/site/ie9-support.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/content/help/site/ie9-support.html	(from http://www.nytimes.com/)
18:06:26	31418/31418	---M-Z	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202016%2020:16:32%20GMT	http://www.nytimes.com/subscriptions/Multiproduct/lp3004.html?campaignId=4XUYF	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/subscriptions/Multiproduct/lp3004c7aa.html	(from http://www.nytimes.com/)
18:06:27	130338/130338	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:27%20GMT	http://www.nytimes.com/es/	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/es/index.html	(from http://www.nytimes.com/)
18:06:27	6309/6309	---M-Z	200	added ('OK')	image/svg+xml	date:Wed,%2002%20Nov%202016%2019:17:25%20GMT	https://a1.nyt.com/assets/homepage/20161102-144043/images/foundation/logos/nyt-logo-379x64.svg	/home/macrico/Documents/HEAD/coding/nyt/a1.nyt.com/assets/homepage/20161102-144043/images/foundation/logos/nyt-logo-379x64.svg	(from http://www.nytimes.com/)
18:06:28	5476/5476	---M--	200	added ('OK')	image/png	date:Wed,%2002%20Nov%202016%2019:17:25%20GMT	https://a1.nyt.com/assets/homepage/20161102-144043/images/foundation/logos/nyt-logo-379x64.png	/home/macrico/Documents/HEAD/coding/nyt/a1.nyt.com/assets/homepage/20161102-144043/images/foundation/logos/nyt-logo-379x64.png	(from http://www.nytimes.com/)
18:06:30	180787/180787	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:29%20GMT	http://www.nytimes.com/video	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/video.html	(from http://www.nytimes.com/)
18:06:31	241/241	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:30%20GMT	http://www.nytimes.com/pages/national/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/national/index.16.delayed	(from http://www.nytimes.com/)
18:06:32	291644/291644	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:28%20GMT	http://www.nytimes.com/pages/todayspaper/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/todayspaper/index.html	(from http://www.nytimes.com/)
18:06:32	132462/132462	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:32%20GMT	http://www.nytimes.com/section/us	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/section/us.html	(from http://www.nytimes.com/)
18:06:33	150521/150521	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:30%20GMT	http://www.nytimes.com/pages/world/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/world/index.html	(from http://www.nytimes.com/)
18:06:33	247/247	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:33%20GMT	http://www.nytimes.com/pages/nyregion/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/nyregion/index.19.delayed	(from http://www.nytimes.com/)
18:06:34	137435/137435	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:34%20GMT	http://www.nytimes.com/section/nyregion	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/section/nyregion.html	(from http://www.nytimes.com/)
18:06:35	166582/166582	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:32%20GMT	http://www.nytimes.com/pages/politics/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/politics/index.html	(from http://www.nytimes.com/)
18:06:36	256/256	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:35%20GMT	http://www.nytimes.com/pages/business/international/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/business/international/index.1c.delayed	(from http://www.nytimes.com/)
18:06:37	179284/179284	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:35%20GMT	http://www.nytimes.com/pages/business/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/business/index.html	(from http://www.nytimes.com/)
18:06:37	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:37%20GMT	http://www.nytimes.com/pages/opinion/international/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/opinion/international/index.1e.delayed	(from http://www.nytimes.com/)
18:06:38	227942/227942	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:36%20GMT	http://www.nytimes.com/pages/opinion/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/opinion/index.html	(from http://www.nytimes.com/)
18:06:38	152848/152848	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Nov%202016%2017:06:38%20GMT	http://www.nytimes.com/section/science	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/section/science.html	(from http://www.nytimes.com/)
18:06:39	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2006%20Nov%202016%2017:06:39%20GMT	http://www.nytimes.com/pages/health/index.html	/home/macrico/Documents/HEAD/coding/nyt/www.nytimes.com/pages/health/index.21.delayed	(from http://www.nytimes.com/)
